True/Mir,Mag/IP,BP,BP Con.,iBB/P2B2 Con.,SBC Flex Name,4-asic group / DCB power,M/S/A,PPP Pos. (Correct),PPP Pins (Correct),LVR,LVR Ch.,C Len (m),A Len (m),Cav. Map. PPP Label (After Moving Pos.),Replace w/ PPP Label,Cav. Map. LVR Label (After Moving Pos.),Replace w/ LVR Label
 , , , , , , , , , , , , , , , , , 
Mirror,mag,alpha,JP0,JPU0,S0S,P1W,M,P1,"1,9",22,3 Y 1,7.6,|8.4|,P3 - 1/9 | PT_b_alpha_S0M_P1W,P1 - 1/9 | PT_b_alpha_S0S_P1W,22 - J13 - 4/3 1b | PT_b_alpha_S0M_P1W   Y   22 - J13 - 8/7 1b | PT_b_alpha_S0M_P1W,22 - J12 - 4/3 1b | PT_b_alpha_S0S_P1W   Y   22 - J12 - 8/7 1b | PT_b_alpha_S0S_P1W
Mirror,mag,alpha,JP0,JPU0,S0S,P2E,M,P1,"2,10",21,4 Y 2,7.6,|8.4|,P3 - 2/10 | PT_b_alpha_S0M_P2E,P1 - 2/10 | PT_b_alpha_S0S_P2E,18 - J12 - 2/1 1b | PT_b_alpha_S0M_P2E,21 - J12 - 2/1 1b | PT_b_alpha_S0S_P2E   Y   21 - J12 - 6/5 1b | PT_b_alpha_S0S_P2E
Mirror,mag,alpha,JP0,JPU0,S0S,P3,A,P1,"3,11",15,3,7.2,7.8,P3 - 3/11 | PT_b_alpha_S0M_P3,P1 - 3/11 | PT_b_alpha_S0S_P3,15 - J12 - 8/7 2a | PT_b_alpha_S0M_P3,15 - J12 - 4/3 2a | PT_b_alpha_S0S_P3
Mirror,mag,alpha,JP1,JPU0,S0M,P1W,M,P1,"4,12",22,7 Y 5,7.6,|8.4|,P3 - 4/12 | PT_b_alpha_S0S_P1W,P1 - 4/12 | PT_b_alpha_S0M_P1W,22 - J12 - 4/3 1b | PT_b_alpha_S0S_P1W   Y   22 - J12 - 8/7 1b | PT_b_alpha_S0S_P1W,22 - J13 - 4/3 1b | PT_b_alpha_S0M_P1W   Y   22 - J13 - 8/7 1b | PT_b_alpha_S0M_P1W
Mirror,mag,alpha,JP1,JPU0,S0M,P2E,A,P1,"5,13",18,4,7.6,|8.4|,P3 - 5/13 | PT_b_alpha_S0S_P2E,P1 - 5/13 | PT_b_alpha_S0M_P2E,21 - J12 - 2/1 1b | PT_b_alpha_S0S_P2E   Y   21 - J12 - 6/5 1b | PT_b_alpha_S0S_P2E,18 - J12 - 2/1 1b | PT_b_alpha_S0M_P2E
Mirror,mag,alpha,JP1,JPU0,S0M,P3,A,P1,"6,14",15,1,7.2,7.8,P3 - 6/14 | PT_b_alpha_S0S_P3,P1 - 6/14 | PT_b_alpha_S0M_P3,15 - J12 - 4/3 2a | PT_b_alpha_S0S_P3,15 - J12 - 8/7 2a | PT_b_alpha_S0M_P3
Mirror,mag,alpha,JP0,JPU0,S0S,P1E,S,P1,"7,15",22,4 Y 2,7.6,|8.4|,P3 - 7/15 | PT_b_alpha_S0M_P1E,P1 - 7/15 | PT_b_alpha_S0S_P1E,22 - J13 - 2/1 1b | PT_b_alpha_S0M_P1E   Y   22 - J13 - 6/5 1b | PT_b_alpha_S0M_P1E,22 - J12 - 2/1 1b | PT_b_alpha_S0S_P1E   Y   22 - J12 - 6/5 1b | PT_b_alpha_S0S_P1E
Mirror,mag,alpha,JP1,JPU0,S0M,P1E,S,P1,"8,16",22,8 Y 6,7.6,|8.4|,P3 - 8/16 | PT_b_alpha_S0S_P1E,P1 - 8/16 | PT_b_alpha_S0M_P1E,22 - J12 - 2/1 1b | PT_b_alpha_S0S_P1E   Y   22 - J12 - 6/5 1b | PT_b_alpha_S0S_P1E,22 - J13 - 2/1 1b | PT_b_alpha_S0M_P1E   Y   22 - J13 - 6/5 1b | PT_b_alpha_S0M_P1E
 , , , , , , , , , , , , , , , , , 
Mirror,mag,alpha,JP4,JPU1,S1S,P1W,M,P2,"1,9",21,7 Y 5,7.6,|8.4|,P2 - 1/9 | PT_b_alpha_S1M_P1W,P2 - 1/9 | PT_b_alpha_S1S_P1W,23 - J12 - 4/3 1b | PT_b_alpha_S1M_P1W   Y   23 - J12 - 8/7 1b | PT_b_alpha_S1M_P1W,21 - J13 - 4/3 1b | PT_b_alpha_S1S_P1W   Y   21 - J13 - 8/7 1b | PT_b_alpha_S1S_P1W
