True/Mir,Mag/IP,BP,BP Con.,iBB/P2B2 Con.,SBC Flex Name,4-asic group / DCB power,M/S/A,Cav. Map. PPP Pos.,Cav. Map. PPP Pins,Surf. Map. PPP Pos.,Surf. Map. PPP Pins,LVR,LVR Ch.,C Len (m),A Len (m),Cav. Map. PPP Pop.,Surf. Map. PPP Pop.
 , , , , , , , , , , , , , , , , , 
Mirror,mag,alpha,JP0,JPU0,S0S,P1W,M,P3,"4,12",P1,"1,9",22,3.0,7.6000000000000005,|8.4|,8,8
Mirror,mag,alpha,JP0,JPU0,S0S,P1W,M,P3,"4,12",P1,"1,9",22,1.0,splice,splice,8,8
Mirror,mag,alpha,JP0,JPU0,S0S,P2E,M,P3,"5,13",P1,"2,10",21,4.0,7.6000000000000005,|8.4|,8,8
Mirror,mag,alpha,JP0,JPU0,S0S,P2E,M,P3,"5,13",P1,"2,10",21,2.0,splice,splice,8,8
Mirror,mag,alpha,JP0,JPU0,S0S,P3,A,P3,"6,14",P1,"3,11",15,3.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP1,JPU0,S0M,P1W,M,P3,"1,9",P1,"4,12",22,7.0,7.6000000000000005,|8.4|,8,8
Mirror,mag,alpha,JP1,JPU0,S0M,P1W,M,P3,"1,9",P1,"4,12",22,5.0,splice,splice,8,8
Mirror,mag,alpha,JP1,JPU0,S0M,P2E,A,P3,"2,10",P1,"5,13",18,4.0,7.6000000000000005,|8.4|,8,8
Mirror,mag,alpha,JP1,JPU0,S0M,P3,A,P3,"3,11",P1,"6,14",15,1.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP0,JPU0,S0S,P1E,S,P3,"8,16",P1,"7,15",22,4.0,7.6000000000000005,|8.4|,8,8
Mirror,mag,alpha,JP0,JPU0,S0S,P1E,S,P3,"8,16",P1,"7,15",22,2.0,splice,splice,8,8
Mirror,mag,alpha,JP1,JPU0,S0M,P1E,S,P3,"7,15",P1,"8,16",22,8.0,7.6000000000000005,|8.4|,8,8
Mirror,mag,alpha,JP1,JPU0,S0M,P1E,S,P3,"7,15",P1,"8,16",22,6.0,splice,splice,8,8
 , , , , , , , , , , , , , , , , , 
Mirror,mag,alpha,JP4,JPU1,S1S,P1W,M,P2,"4,12",P2,"1,9",21,7.0,7.6000000000000005,|8.4|,8,8
Mirror,mag,alpha,JP4,JPU1,S1S,P1W,M,P2,"4,12",P2,"1,9",21,5.0,splice,splice,8,8
Mirror,mag,alpha,JP4,JPU1,S1S,P2E,A,P2,"5,13",P2,"2,10",15,4.0,7.2,7.800000000000001,8,8
Mirror,mag,alpha,JP4,JPU1,S1S,P3,A,P2,"6,14",P2,"3,11",13,3.0,|6.8|,7.2,8,8
Mirror,mag,alpha,JP5,JPU1,S1M,P1W,M,P2,"1,9",P2,"4,12",23,3.0,7.6000000000000005,|8.4|,8,8
