PPP Label,Pos. Src,Pos. Ret,Backplane,BP Con.,Flex Name,4ASIC-group/DCB power,SBC Label,LVR Logical ID,LVR ch.,M/S/A,Connector on CCTB,Measured Voltage,Measured Current,Result,Comments
P32,1,9,gamma,JD7,n/a,1V5,64 - J13 - 8/7,64,5.0,M,,,,,
P32,2,10,gamma,JD7,n/a,1V5,64 - J13 - 6/5,64,6.0,S,,,,,
P32,3,11,gamma,JD7-6,n/a,2V5,67 - J13 - 8/7,67,5.0,A,,,,,
P32,4,12,gamma,JD8,n/a,1V5,63 - J13 - 4/3,63,7.0,M,,,,,
P32,5,13,gamma,JD8,n/a,1V5,63 - J13 - 2/1,63,8.0,S,,,,,
P33,1,9,gamma,JD0,n/a,1V5,63 - J12 - 4/3,63,3.0,M,,,,,
P33,2,10,gamma,JD1,n/a,1V5,63 - J12 - 6/5,63,2.0,S,,,,,
P33,3,11,gamma,JD1,n/a,1V5,63 - J12 - 8/7,63,1.0,M,,,,,
P33,4,12,gamma,JD4,n/a,1V5,64 - J12 - 4/3,64,3.0,M,,,,,
P33,5,13,gamma,JD4,n/a,1V5,64 - J12 - 2/1,64,4.0,S,,,,,
P33,6,14,gamma,JD0,n/a,1V5,63 - J12 - 2/1,63,4.0,S,,,,,
P35,1,9,gamma,JD6,n/a,1V5,64 - J13 - 2/1,64,8.0,S,,,,,
P35,2,10,gamma,JD6,n/a,1V5,64 - J13 - 4/3,64,7.0,M,,,,,
P35,3,11,gamma,JD9,n/a,1V5,63 - J13 - 6/5,63,6.0,S,,,,,
P35,4,12,gamma,JD9-8,n/a,2V5,67 - J13 - 6/5,67,6.0,A,,,,,
P35,5,13,gamma,JD9,n/a,1V5,63 - J13 - 8/7,63,5.0,M,,,,,
P36,1,9,gamma,JD1-0,n/a,2V5,67 - J13 - 2/1,67,8.0,A,,,,,
P36,3,11,gamma,JD5,n/a,1V5,64 - J12 - 6/5,64,2.0,S,,,,,
P36,4,12,gamma,JD5-4,n/a,2V5,67 - J13 - 4/3,67,7.0,A,,,,,
P36,5,13,gamma,JD5,n/a,1V5,64 - J12 - 8/7,64,1.0,M,,,,,
P13,1,9,gamma,JP0,S0S,P1W,52 - J13 - 2/1,52,8,A,,,,,
P13,2,10,gamma,JP0,S0S,P2E,52 - J13 - 8/7,52,5,A,,,,,
P13,3,11,gamma,JP0,S0S,P3,50 - J13 - 4/3,50,7,A,,,,,
P13,4,12,gamma,JP1,S0M,P1W,56 - J13 - 2/1,56,8,A,,,,,
P13,5,13,gamma,JP1,S0M,P2E,52 - J12 - 4/3,52,3,A,,,,,
P13,6,14,gamma,JP1,S0M,P3,50 - J13 - 8/7,50,5,A,,,,,
P14,1,9,gamma,JP4,S1S,P1W,52 - J13 - 6/5,52,6,A,,,,,
P14,2,10,gamma,JP4,S1S,P2E,50 - J13 - 2/1,50,8,A,,,,,
P14,3,11,gamma,JP4,S1S,P3,48 - J13 - 4/3,48,7,A,,,,,
P14,4,12,gamma,JP5,S1M,P1W,56 - J13 - 8/7,56,5,A,,,,,
P14,5,13,gamma,JP5,S1M,P2E,52 - J13 - 4/3,52,7,A,,,,,
P14,6,14,gamma,JP5,S1M,P3,50 - J13 - 6/5,50,6,A,,,,,
P31,1,9,gamma,JP1,S0M,P4,48 - J13 - 8/7,48,5,A,,,,,
P31,2,10,gamma,JP5,S1M,P4,48 - J13 - 6/5,48,6,A,,,,,
P16,1,9,gamma,JP3,X0S,P1W,42 - J13 - 8/7,42,5,A,,,,,
P16,2,10,gamma,JP3,X0S,P2E,42 - J13 - 2/1,42,8,A,,,,,
P16,3,11,gamma,JP3,X0S,P3,40 - J13 - 4/3,40,7,A,,,,,
P16,4,12,gamma,JP2,X0M,P1W,46 - J13 - 2/1,46,8,A,,,,,
P16,5,13,gamma,JP2,X0M,P2E,42 - J12 - 4/3,42,3,A,,,,,
P16,6,14,gamma,JP2,X0M,P3,40 - J13 - 8/7,40,5,A,,,,,
P17,1,9,gamma,JP7,X1S,P1W,42 - J13 - 6/5,42,6,A,,,,,
P17,2,10,gamma,JP7,X1S,P2E,40 - J13 - 2/1,40,8,A,,,,,
P17,3,11,gamma,JP7,X1S,P3,38 - J13 - 4/3,38,7,A,,,,,
P17,4,12,gamma,JP6,X1M,P1W,46 - J13 - 8/7,46,5,A,,,,,
P17,5,13,gamma,JP6,X1M,P2E,42 - J13 - 4/3,42,7,A,,,,,
P17,6,14,gamma,JP6,X1M,P3,40 - J13 - 6/5,40,6,A,,,,,
P34,1,9,gamma,JP2,X0M,P4,38 - J13 - 8/7,38,5,A,,,,,
P34,2,10,gamma,JP6,X1M,P4,38 - J13 - 6/5,38,6,A,,,,,
P26,1,9,beta,JD7,n/a,1V5,62 - J13 - 8/7,62,5.0,M,,,,,
P26,2,10,beta,JD7,n/a,1V5,62 - J13 - 6/5,62,6.0,S,,,,,
P26,3,11,beta,JD7-6,n/a,2V5,66 - J13 - 8/7,66,5.0,A,,,,,
P26,4,12,beta,JD8,n/a,1V5,60 - J13 - 4/3,60,7.0,M,,,,,
P26,5,13,beta,JD8,n/a,1V5,60 - J13 - 2/1,60,8.0,S,,,,,
P26,6,14,beta,JD11-10,n/a,2V5,66 - J12 - 6/5,66,2.0,A,,,,,
P26,7,15,beta,JD11,n/a,1V5,61 - J13 - 4/3,61,7.0,M,,,,,
P27,1,9,beta,JD0,n/a,1V5,60 - J12 - 4/3,60,3.0,M,,,,,
P27,2,10,beta,JD1,n/a,1V5,60 - J12 - 6/5,60,2.0,S,,,,,
P27,3,11,beta,JD1,n/a,1V5,60 - J12 - 8/7,60,1.0,M,,,,,
P27,4,12,beta,JD4,n/a,1V5,62 - J12 - 4/3,62,3.0,M,,,,,
P27,5,13,beta,JD4,n/a,1V5,62 - J12 - 2/1,62,4.0,S,,,,,
P27,6,14,beta,JD0,n/a,1V5,60 - J12 - 2/1,60,4.0,S,,,,,
P29,1,9,beta,JD6,n/a,1V5,62 - J13 - 2/1,62,8.0,S,,,,,
P29,2,10,beta,JD6,n/a,1V5,62 - J13 - 4/3,62,7.0,M,,,,,
P29,3,11,beta,JD9,n/a,1V5,60 - J13 - 6/5,60,6.0,S,,,,,
P29,4,12,beta,JD9-8,n/a,2V5,66 - J13 - 6/5,66,6.0,A,,,,,
P29,5,13,beta,JD9,n/a,1V5,60 - J13 - 8/7,60,5.0,M,,,,,
P29,6,14,beta,JD10,n/a,1V5,61 - J12 - 2/1,61,4.0,S,,,,,
P29,7,15,beta,JD10,n/a,1V5,61 - J12 - 4/3,61,3.0,M,,,,,
P29,8,16,beta,JD11,n/a,1V5,61 - J13 - 2/1,61,8.0,S,,,,,
P30,1,9,beta,JD1-0,n/a,2V5,66 - J13 - 2/1,66,8.0,A,,,,,
P30,3,11,beta,JD5,n/a,1V5,62 - J12 - 6/5,62,2.0,S,,,,,
P30,4,12,beta,JD5-4,n/a,2V5,66 - J13 - 4/3,66,7.0,A,,,,,
P30,5,13,beta,JD5,n/a,1V5,62 - J12 - 8/7,62,1.0,M,,,,,
P7,1,9,beta,JP0,S0S,P1W,52 - J12 - 2/1,52,4,A,,,,,
P7,2,10,beta,JP0,S0S,P2E,52 - J12 - 8/7,52,1,A,,,,,
P7,3,11,beta,JP0,S0S,P3,50 - J12 - 4/3,50,3,A,,,,,
P7,4,12,beta,JP1,S0M,P1W,56 - J12 - 2/1,56,4,A,,,,,
P7,5,13,beta,JP1,S0M,P2E,51 - J13 - 2/1,51,8,A,,,,,
P7,6,14,beta,JP1,S0M,P3,50 - J12 - 8/7,50,1,A,,,,,
P8,1,9,beta,JP4,S1S,P1W,52 - J12 - 6/5,52,2,A,,,,,
P8,2,10,beta,JP4,S1S,P2E,50 - J12 - 2/1,50,4,A,,,,,
P8,3,11,beta,JP4,S1S,P3,48 - J12 - 4/3,48,3,A,,,,,
P8,4,12,beta,JP5,S1M,P1W,56 - J12 - 8/7,56,1,A,,,,,
P8,5,13,beta,JP5,S1M,P2E,51 - J13 - 4/3,51,7,A,,,,,
P8,6,14,beta,JP5,S1M,P3,50 - J12 - 6/5,50,2,A,,,,,
P9,1,9,beta,JP8,S2S,P1W,51 - J13 - 8/7,51,5,A,,,,,
P9,2,10,beta,JP8,S2S,P2E,49 - J13 - 2/1,49,8,A,,,,,
P9,3,11,beta,JP8,S2S,P3,48 - J12 - 2/1,48,4,A,,,,,
P9,4,12,beta,JP9,S2M,P1W,56 - J12 - 6/5,56,2,A,,,,,
P9,5,13,beta,JP9,S2M,P2E,51 - J13 - 6/5,51,6,A,,,,,
P9,6,14,beta,JP9,S2M,P3,49 - J13 - 6/5,49,6,A,,,,,
P25,1,9,beta,JP1,S0M,P4,48 - J12 - 8/7,48,1,A,,,,,
P25,2,10,beta,JP5,S1M,P4,48 - J12 - 6/5,48,2,A,,,,,
P25,3,11,beta,JP9,S2M,P4,47 - J13 - 6/5,47,6,A,,,,,
P10,1,9,beta,JP3,X0S,P1W,42 - J12 - 2/1,42,4,A,,,,,
P10,2,10,beta,JP3,X0S,P2E,42 - J12 - 8/7,42,1,A,,,,,
P10,3,11,beta,JP3,X0S,P3,40 - J12 - 4/3,40,3,A,,,,,
P10,4,12,beta,JP2,X0M,P1W,46 - J12 - 2/1,46,4,A,,,,,
