PPP Label,PPP Twisted Pair,Splitter Input,Splitter Output,LVR Con.,LVR Number,LVR ch.,M/S/A,Connector on CCTB,Measured Voltage,Result,Comments
A1, 1-2,-,direct,J16,19,5,,,,,
A1, 4-5,-,direct,J16,19,6,,,,,
A1, 7-8,-,direct,J16,19,8,,,,,
A2, 1-2,S6-2_3,Type 6 - OUT b,J16,13,6,,,,,
A2, 4-5,S6-2_3,Type 6 - OUT d,J16,16,5,,,,,
A2, 7-8,S6-2_3,Type 6 - OUT d,J16,16,7,,,,,
A3, 1-2,-,direct,J10,14,1,,,,,
A3, 3-6,-,direct,J10,14,3,,,,,
A3, 4-5,-,direct,J10,14,2,,,,,
A3, 7-8,-,direct,J10,14,4,,,,,
A4, 4-5,-,direct,J10,35,2,,,,,
A5, 3-6,S1-20,Type 1 - OUT a,J10,32,3,,,,,
A5, 7-8,S1-20,Type 1 - OUT b,J16,32,7,,,,,
A6, 1-2,-,direct,J10,12,1,,,,,
A6, 4-5,-,direct,J10,12,2,,,,,
A6, 7-8,-,direct,J10,12,4,,,,,
A7, 1-2,-,direct,J16,24,5,,,,,
A7, 4-5,-,direct,J16,24,6,,,,,
A7, 7-8,-,direct,J16,24,8,,,,,
A8, 1-2,-,direct,J16,20,5,,,,,
A8, 4-5,-,direct,J16,20,6,,,,,
A8, 7-8,-,direct,J16,20,8,,,,,
A9, 1-2,-,direct,J10,20,1,,,,,
A9, 3-6,-,direct,J10,20,3,,,,,
A9, 4-5,-,direct,J10,20,2,,,,,
A9, 7-8,-,direct,J10,20,4,,,,,
A10, 1-2,S6-2_2,Type 6 - OUT b,J16,13,8,,,,,
A10, 4-5,S6-2_2,Type 6 - OUT c,J16,17,5,,,,,
A10, 7-8,S6-2_2,Type 6 - OUT c,J16,17,7,,,,,
A11, 1-2,-,direct,J10,17,1,,,,,
A11, 3-6,-,direct,J10,17,3,,,,,
A11, 4-5,-,direct,J10,17,2,,,,,
A11, 7-8,-,direct,J10,17,4,,,,,
A12, 1-2,-,direct,J16,14,5,,,,,
A12, 3-6,-,direct,J16,14,7,,,,,
A12, 4-5,-,direct,J16,14,6,,,,,
A12, 7-8,-,direct,J16,14,8,,,,,
A13, 1-2,-,direct,J16,36,5,,,,,
A13, 3-6,-,direct,J16,36,7,,,,,
A13, 4-5,-,direct,J16,36,6,,,,,
A13, 7-8,-,direct,J16,36,8,,,,,
A14, 4-5,-,direct,J10,36,2,,,,,
A15, 1-2,S1-10,Type 1 - OUT a,J10,31,1,,,,,
A15, 3-6,S1-10,Type 1 - OUT a,J10,31,3,,,,,
A15, 4-5,S1-10,Type 1 - OUT b,J16,31,5,,,,,
A15, 7-8,S1-10,Type 1 - OUT b,J16,31,7,,,,,
A16, 3-6,S1-21,Type 1 - OUT a,J10,29,3,,,,,
A16, 7-8,S1-21,Type 1 - OUT b,J16,29,7,,,,,
A17, 1-2,S1-11,Type 1 - OUT a,J10,33,1,,,,,
A17, 3-6,S1-11,Type 1 - OUT a,J10,33,3,,,,,
A17, 4-5,S1-11,Type 1 - OUT b,J16,33,5,,,,,
A17, 7-8,S1-11,Type 1 - OUT b,J16,33,7,,,,,
A18, 1-2,-,direct,J16,12,5,,,,,
A18, 4-5,-,direct,J16,12,6,,,,,
A18, 7-8,-,direct,J16,12,8,,,,,
A19, 1-2,-,direct,J16,8,5,,,,,
A19, 4-5,-,direct,J16,8,6,,,,,
A19, 7-8,-,direct,J16,8,8,,,,,
A20, 1-2,-,direct,J10,8,1,,,,,
A20, 3-6,-,direct,J10,8,3,,,,,
A20, 4-5,-,direct,J10,8,2,,,,,
A20, 7-8,-,direct,J10,8,4,,,,,
A21, 1-2,S6-1_2,Type 6 - OUT b,J16,1,8,,,,,
A21, 4-5,S6-1_2,Type 6 - OUT c,J16,5,5,,,,,
A21, 7-8,S6-1_2,Type 6 - OUT c,J16,5,7,,,,,
A22, 1-2,-,direct,J10,5,1,,,,,
A22, 3-6,-,direct,J10,5,3,,,,,
A22, 4-5,-,direct,J10,5,2,,,,,
A22, 7-8,-,direct,J10,5,4,,,,,
A23, 1-2,-,direct,J16,2,5,,,,,
A23, 3-6,-,direct,J16,2,7,,,,,
A23, 4-5,-,direct,J16,2,6,,,,,
A23, 7-8,-,direct,J16,2,8,,,,,
B1, 1-2,-,direct,J10,24,1,,,,,
B1, 4-5,-,direct,J10,24,2,,,,,
B1, 7-8,-,direct,J10,24,4,,,,,
B2, 1-2,-,direct,J10,19,1,,,,,
B2, 3-6,-,direct,J10,19,3,,,,,
B2, 4-5,-,direct,J10,19,2,,,,,
B2, 7-8,-,direct,J10,19,4,,,,,
B3, 1-2,-,direct,J10,16,1,,,,,
B3, 3-6,-,direct,J10,16,3,,,,,
B3, 4-5,-,direct,J10,16,2,,,,,
B3, 7-8,-,direct,J10,16,4,,,,,
B4, 1-2,-,direct,J16,35,5,,,,,
B4, 3-6,-,direct,J16,35,7,,,,,
B4, 4-5,-,direct,J16,35,6,,,,,
B4, 7-8,-,direct,J16,35,8,,,,,
B5, 1-2,S1-12,Type 1 - OUT a,J10,28,1,,,,,
B5, 3-6,S1-12,Type 1 - OUT a,J10,28,3,,,,,
B5, 4-5,S1-12,Type 1 - OUT b,J16,28,5,,,,,
B5, 7-8,S1-12,Type 1 - OUT b,J16,28,7,,,,,
B6, 1-2,S1-13,Type 1 - OUT a,J10,30,1,,,,,
B6, 3-6,S1-13,Type 1 - OUT a,J10,30,3,,,,,
B6, 4-5,S1-13,Type 1 - OUT b,J16,30,5,,,,,
B6, 7-8,S1-13,Type 1 - OUT b,J16,30,7,,,,,
B7, 1-2,-,direct,J16,7,5,,,,,
B7, 4-5,-,direct,J16,7,6,,,,,
B7, 7-8,-,direct,J16,7,8,,,,,
B8, 1-2,-,direct,J10,7,1,,,,,
B8, 3-6,-,direct,J10,7,3,,,,,
B8, 4-5,-,direct,J10,7,2,,,,,
B8, 7-8,-,direct,J10,7,4,,,,,
B9, 1-2,S6-1_3,Type 6 - OUT b,J16,1,6,,,,,
B9, 4-5,S6-1_3,Type 6 - OUT d,J16,4,5,,,,,
B9, 7-8,S6-1_3,Type 6 - OUT d,J16,4,7,,,,,
B10, 1-2,-,direct,J10,4,1,,,,,
B10, 3-6,-,direct,J10,4,3,,,,,
B10, 4-5,-,direct,J10,4,2,,,,,
B10, 7-8,-,direct,J10,4,4,,,,,
B11, 1-2,-,direct,J10,2,1,,,,,
B11, 3-6,-,direct,J10,2,3,,,,,
B11, 4-5,-,direct,J10,2,2,,,,,
B11, 7-8,-,direct,J10,2,4,,,,,
C9, 1-2,-,direct,J10,15,1,,,,,
C9, 3-6,-,direct,J10,15,3,,,,,
C9, 4-5,-,direct,J10,15,2,,,,,
C9, 7-8,-,direct,J10,15,4,,,,,
C10, 1-2,S4-3,Type 4 - OUT a,J10,11,1,,,,,
C10, 3-6,S4-3,Type 4 - OUT a,J10,11,3,,,,,
C10, 4-5,S4-3,Type 4 - OUT b,J16,11,5,,,,,
C11, 1-2,-,direct,J10,1,1,,,,,
C11, 3-6,-,direct,J10,1,3,,,,,
C11, 4-5,-,direct,J10,1,2,,,,,
C11, 7-8,-,direct,J10,1,4,,,,,
D9, 1-2,S6-2_1,Type 6 - OUT b,J16,13,5,,,,,
D9, 3-6,S6-2_1,Type 6 - OUT b,J16,13,7,,,,,
D9, 4-5,S6-2_1,Type 6 - OUT a,J16,15,5,,,,,
D9, 7-8,S6-2_1,Type 6 - OUT a,J16,15,7,,,,,
D10, 1-2,S1-15,Type 1 - OUT a,J10,25,1,,,,,
D10, 3-6,S1-15,Type 1 - OUT a,J10,25,3,,,,,
D10, 4-5,S1-15,Type 1 - OUT b,J16,25,5,,,,,
D10, 7-8,S1-15,Type 1 - OUT b,J16,25,7,,,,,
D11, 1-2,-,direct,J10,3,1,,,,,
