PPP Label,Pos. Src,Pos. Ret,Backplane,BP Con.,Flex Name,4ASIC-group/DCB power,SBC Label,LVR Logical ID,LVR ch.,M/S/A,Connector on CCTB,Measured Voltage,Measured Current,Result,Comments
P32,1,9,gamma,JD7,n/a,1V5,31 - J13 - 8/7,31,5.0,M,,,,,
P32,2,10,gamma,JD7,n/a,1V5,31 - J13 - 6/5,31,6.0,S,,,,,
P32,3,11,gamma,JD7-6,n/a,2V5,36 - J13 - 8/7,36,5.0,A,,,,,
P32,4,12,gamma,JD8,n/a,1V5,33 - J13 - 4/3,33,7.0,M,,,,,
P32,5,13,gamma,JD8,n/a,1V5,33 - J13 - 2/1,33,8.0,S,,,,,
P32,6,14,gamma,JD11-10,n/a,2V5,36 - J12 - 6/5,36,2.0,A,,,,,
P32,7,15,gamma,JD11,n/a,1V5,29 - J13 - 4/3,29,7.0,M,,,,,
P33,1,9,gamma,JD0,n/a,1V5,33 - J12 - 4/3,33,3.0,M,,,,,
P33,2,10,gamma,JD1,n/a,1V5,33 - J12 - 6/5,33,2.0,S,,,,,
P33,3,11,gamma,JD1,n/a,1V5,33 - J12 - 8/7,33,1.0,M,,,,,
P33,4,12,gamma,JD4,n/a,1V5,31 - J12 - 4/3,31,3.0,M,,,,,
P33,5,13,gamma,JD4,n/a,1V5,31 - J12 - 2/1,31,4.0,S,,,,,
P33,6,14,gamma,JD0,n/a,1V5,33 - J12 - 2/1,33,4.0,S,,,,,
P35,1,9,gamma,JD6,n/a,1V5,31 - J13 - 2/1,31,8.0,S,,,,,
P35,2,10,gamma,JD6,n/a,1V5,31 - J13 - 4/3,31,7.0,M,,,,,
P35,3,11,gamma,JD9,n/a,1V5,33 - J13 - 6/5,33,6.0,S,,,,,
P35,4,12,gamma,JD9-8,n/a,2V5,36 - J13 - 6/5,36,6.0,A,,,,,
P35,5,13,gamma,JD9,n/a,1V5,33 - J13 - 8/7,33,5.0,M,,,,,
P35,6,14,gamma,JD10,n/a,1V5,29 - J12 - 2/1,29,4.0,S,,,,,
P35,7,15,gamma,JD10,n/a,1V5,29 - J12 - 4/3,29,3.0,M,,,,,
P35,8,16,gamma,JD11,n/a,1V5,29 - J13 - 2/1,29,8.0,S,,,,,
P36,1,9,gamma,JD1-0,n/a,2V5,36 - J13 - 2/1,36,8.0,A,,,,,
P36,3,11,gamma,JD5,n/a,1V5,31 - J12 - 6/5,31,2.0,S,,,,,
P36,4,12,gamma,JD5-4,n/a,2V5,36 - J13 - 4/3,36,7.0,A,,,,,
P36,5,13,gamma,JD5,n/a,1V5,31 - J12 - 8/7,31,1.0,M,,,,,
